component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	N	ND77.00	otherDiagnosis	Common peroneal neuropathy	Disease involving the common peroneal nerve or its branches, the deep and superficial peroneal nerves. Lesions of the deep peroneal nerve are associated with paralysis of dorsiflexion of the ankle and toes and loss of sensation from the web space between the first and second toe. Lesions of the superficial peroneal nerve result in weakness or paralysis of the peroneal muscles (which evert the foot) and loss of sensation over the dorsal and lateral surface of the leg. Traumatic injury to the common peroneal nerve near the head of the FIBULA is a relatively common cause of this condition			1
D	N	ND77.01	otherDiagnosis	Diabetic neuropathy	Peripheral, autonomic, and cranial nerve disorders that are associated with diabetes mellitus. These conditions usually result from diabetic microvascular injury involving small blood vessels that supply nerves.	diabetic polyneuropathy		1
D	N	ND77.02	otherDiagnosis	Guillain-Barré syndrome	Progressive weakness of the limbs over a few days to 28 days, symmetrical deficit, areflexia, absent or mild sensory disturbance, elevated cerebrospinal fluid protein, and slowing of nerve conduction velocities are the cardinal features. The disorder may be preceded by upper respiratory or gastrointestinal infection or immunization 1 to 4 weeks prior to onset of the illness. Bifacial palsy may be present.			1
D	N	ND77.03	otherDiagnosis	Meralgia paraesthetica	Meralgia paresthetica (also known as lateral femoral cutaneous nerve entrapment) is a condition characterized by tingling, numbness and burning pain in the outer thigh. It's caused by compression of the nerve that provides sensation to the skin covering your thigh.			1
D	N	ND77.04	otherDiagnosis	Morton's neuroma	Disease or damage to the medial and/or lateral plantar nerves, branches of the tibial nerve below the level of the tarsal tunnel secondary to insult.			1
D	N	ND77.05	otherDiagnosis	Phantom pain	Phantom limb pain is the perception of sensations, including pain, in a limb that has been amputated or a body part that has been removed. These sensations may include a specific position, shape, or movement of the phantom, feelings of warmth or cold, itching, tingling, or electric sensations, and other paraesthesias.			1
D	N	ND77.06	otherDiagnosis	Thoracic outlet syndrome	A neurovascular syndrome associated with compression of the brachial plexus; subclavian artery; and subclavian vein at the superior thoracic outlet. This may result from a variety of anomalies such as a cervical rib, anomalous fascial bands, and abnormalities of the origin or insertion of the anterior or medial scalene muscles. Clinical features may include pain in the shoulder and neck region which radiates into the arm, paresis or paralysis of brachial plexus innervated muscles, paresthesia, loss of sensation, reduction of arterial pulses in the affected extremity, ischemia, and edema.			1
D	N	ND77.07	otherDiagnosis	Neuralgic shoulder amyotrophy	A condition of unknown etiology that presents with a characteristic pattern of sudden (acute) pain across the top of the shoulder, lasting a few hours to a fortnight, followed by flaccid paralysis of some muscles of the shoulder girdle.			1
D	N	ND99	otherDiagnosis	Other specified and unknown diagnoses and diseases of neurological system		neuralgia NOS	sleep apnoea PS06	0
D	N	ND99.00	otherDiagnosis	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis (ALS) is a progressive, fatal disorder in which progressive signs of Lower Motor Neuron and Upper Motor Neuron degeneration are seen within one or more of the four regions: bulbar, cervical, thoracic and lumbosacral.			1
D	N	ND99.01	otherDiagnosis	Combined disorder of muscle and peripheral nerve	Diseases resulting from destruction or malfunction of the neuromuscular junction, a chemical synapse formed between the end of the motor nerve terminal and the voluntary muscle. Pathology can occur at the presynaptic or postsynaptic membrane and leads to dysfunction of neuromuscular transmission. Common diseases of this category include Myasthenia Gravis and Lambert Eaton Myasthenic Syndrome.		myasthenia gravis ND99.01	1
D	N	ND99.02	otherDiagnosis	Myasthenia gravis	Myasthenia gravis is the most common acquired auto-antibody mediated neuromuscular transmission disorder. Prevalence is 1–2 per 10,000 persons. Fluctuating weakness increasing with repeated activity and improving after a period of rest is the hallmark. Myasthenia Gravis with antibodies directed against postsynaptic proteins, usually the nicotinic acetylcholine receptor are the most prevalent. Other types are Myasthenia Gravis associated with muscle-specific kinase antibodies and MG with unknown autoantibodies (seronegative) Myasthenia Gravis. There are three groups: 1. Purely ocular Myasthenia Gravis 2. Early-onset (before the age of 40-50 years) generalised Myasthenia Gravis 3. Late-onset generalised MG. In about 15%, the disease can be classified as paraneoplastic, usually associated with a thymoma.			1
D	N	ND99.03	otherDiagnosis	Tic disorder	Disorders characterized by brief, sudden, repetitive movements (motor tics) or utterances (phonic or vocal tics) that are temporarily suppressible and are usually preceded by a strong urge to perform the tic. The most common cause of childhood-onset tics is Tourette Syndrome.	en:Gilles de la Tourette syndrome		1
D	N	ND99.04	otherDiagnosis	Cerebral palsy	A heterogeneous group of nonprogressive motor disorders caused by chronic brain injuries that originate in the prenatal period, perinatal period, or first few years of life. The four major subtypes are spastic, athetoid, ataxic, and mixed cerebral palsy, with spastic forms being the most common. The motor disorder may range from difficulties with fine motor control to severe spasticity  in all limbs. Spastic diplegia (Little disease) is the most common subtype, and is characterized by spasticity that is more prominent in the legs than in the arms.	spastic cerebral palsy		1
S	N	NS01	symptom	Headache		post-traumatic headache	atypical facial neuralgia ND99;cervicogenic headache LD65;cluster headache ND72;face pain NS02;migraine ND71;post-herpetic pain SD03;sinus pain RS11;tension headache ND73	0
S	N	NS02	symptom	Pain, face			headache NS01;migraine ND71;post herpetic pain SD03;sinus pain RS11;toothache DS19;trigeminal neuralgia ND74	0
S	N	NS03	symptom	Restless legs	A phenomenon characterised by aching or burning sensations in the lower and rarely the upper extremities that occur prior to sleep or may awaken the patient from sleep.	Sleep-related leg cramps	adverse effect medical agent AD40;intermittent claudication KD76;leg cramps LS13	0
S	N	NS04	symptom	Tingling fingers, feet, toes		paraesthesia;prickly feeling fingers;prickly feeling feet;prickly feeling toes	pain or tenderness of skin SS01	0
S	N	NS05	symptom	Sensation disturbances		anaesthesia;burning sensation;numbness	pain/tenderness of skin SS01;tingling fingers/feet/toes NS04	0
S	N	NS06	symptom	Convulsion or seizure	Clinical or subclinical disturbances of cortical function due to a sudden, abnormal, excessive, and disorganized discharge of brain cells. Clinical manifestations include abnormal motor, sensory and psychic phenomena (MesH).	fit	fainting AS07;transient ischaemic attack ND68	0
S	N	NS06.00	symptom	Febrile seizures	Seizures associated with a rise of the body temperature in the absence of intracranial infection, metabolic disturbance, or history of afebrile seizures. They most commonly occur in children between the ages of 6 months and 5 years.			1
S	N	NS07	symptom	Abnormal involuntary movements		dystonic movements;jerking;myoclonus;shaking;tetany;tremor;twitching	chorea KD02;convulsion NS06;cramps/spasm jaw LS06;cramps/spasm arm LS08;cramps/spasm hand/finger LS11;cramps/spasm leg/thigh LS13;cramps/spasm foot/toe LS16;cramps/spasm muscle LS17;dystonic disorder ND99;organic tic ND99;psychogenic tic ND99;restless legs NS03;tic douloureux ND74	0
S	N	NS08	symptom	Disturbance of smell, taste or both		anosmia	halitosis DS20	0
S	N	NS09	symptom	Vertigo or dizziness		giddiness;loss of balance;woozy	motion sickness AD45.02;specific vertiginous syndrome HD67;syncope or blackout AS07	0
S	N	NS09.00	symptom	Lightheaded	An imprecise term which may refer to a sense of spatial disorientation, motion of the environment, or lightheadedness.			1
S	N	NS09.01	symptom	Rotatory vertigo	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space			1
S	N	NS10	symptom	Paralysis and weakness		palsy;paralysis;paralytic symptoms;paresis	general weakness AS04	0
S	N	NS11	symptom	Speech problem		aphasia;dysarthria;dysphasia;slurred speech	hoarseness RS13;speech delay PS18	0
S	N	NS11.00	symptom	Stammering		Speech dysfluency is characterised by the frequent or pervasive disruption of the rhythmic flow of speech that arises subsequent to the developmental period (i.e., adult onset) and is outside the limits of normal variation and results in reduced intelligibility and significantly affects communication. It can involve repetitions of sounds, syllables or words, prolongations, word breaks, blockage of production, excessive use of interjections, and rapid short bursts of speech.		1
S	N	NS90	complaint	Concern or fear of neurological disease	Concern about/fear of neurological cancer in a patient without the disease/until the diagnosis is proven.			0
S	N	NS99	symptom	Other specified symptoms, complaints and abnormal findings of neurological system		ataxia;gait abnormality;gait pattern problem;limping;meningism;transient global amnesia;walking problem		0
D	P	PD01	otherDiagnosis	Dementia	Dementia is a syndrome due to a disease of the brain, usually of a chronic and/or progressive nature, with clinically significant disturbance of multiple higher cortical functions (memory, thinking, orientation, comprehension), together with intact consciousness.	dementia due to Lewy body disease;post-traumatic dementia;presenile dementia;senile dementia		0
D	P	PD01.00	otherDiagnosis	Alzheimer's disease	Dementia due to Alzheimer disease is the most common form of dementia. Onset is insidious with memory impairment typically reported as the initial presenting complaint. The characteristic course is a slow but steady decline from a previous level of cognitive functioning with impairment in additional cognitive domains (such as executive functions, attention, language, social cognition and judgment, psychomotor speed, visuoperceptual or visuospatial abilities) emerging with disease progression. Dementia due to Alzheimer disease may be accompanied by mental and behavioural symptoms such as depressed mood and apathy in the initial stages of the disease and may be accompanied by psychotic symptoms, irritability, aggression, confusion, abnormalities of gait and mobility, and seizures at later stages. Positive genetic testing, family history and gradual cognitive decline are suggestive of Dementia due to Alzheimer disease.	dementia due to Alzheimer disease		1
